Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,PeerGroup,OptimiserCategory,Type
4.1,iShares Core Composite Bond ETF,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Core Australian Bonds,,Australian Bonds,Australian Fixed Interest,ETF
0.5,VanEck Australian Floating Rate ETF,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Floating Rate Bonds,,Diversified Credit,Floating High Yield Credit,ETF
14.7,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,Cash,Cash,Bank Account,Cash,Domestic Cash,Cash,Cash
0.4,Invesco Wholesale Senior Secured Income Fund,Growth,Alternatives,Alternatives,Alternatives (Defensive),Active Manager,,,Global Private Credit - Asset Backed,,Alternatives - Defensive illiquid,Alternatives - Defensive Illiquid,MF
10.7,Vanguard All World ex US Shares Index ETF,Growth,International Shares,Global Shares,Global Shares,Passive,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
1.3,BetaShares Australian High Interest Cash ETF,Defensive,Cash,Cash,,Passive,,,Domestic Cash,,Cash,Cash,ETF
4.1,Vanguard Australian Fixed Interest Index ETF,Defensive,Australian Fixed Interest,Australian Fixed Interest,,Passive,,,Australian Bonds,,Australian Bonds,Australian Fixed Interest,ETF
2.3,Australian Foundation Investment Company Limited,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Large Blend Equity,,Australia Large Blend Equity,Australian Equities,LIC
0.9,Acorn Capital Investment Fund,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Mid Small Blend Equity,,Australia Mid Small Blend Equity,Australian Equities - Small Cap,LIC
0.7,Russell Investments Australian Responsible Investment ETF,Growth,Australian Shares,Australian Shares,,Passive,,,Australia Large Value Equity,,Australia Large Value Equity,Australian Equities,ETF
11.4,Vanguard US Total Market Shares Index ETF,Growth,International Shares,Global Shares,,Passive,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
1.2,PM Capital Global Opportunities Fund,Growth,Alternatives,Alternatives,,Active Manager,,,Alternatives - Growth Liquid,,Alternatives - Growth Liquid,Alternatives - Growth Liquid,LIC
0.3,BetaShares S&P 500 Equal Weight ETF,Growth,International Shares,Global Shares,,Passive,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
0.3,BetaShares NASDAQ 100 ETF,Growth,International Shares,Global Shares,,Passive,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
