Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,PeerGroup,OptimiserCategory,Type
8.216802441238402,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,Cash,Cash,Bank Account,Cash,Domestic Cash,Cash,Cash
3.1128250130518786,Ausbil Global SmallCap Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Small Cap Fundamental,,World Mid Small Equity,International Equities - Small Cap,MF
3.8757464256843503,PIMCO Global Bond Fund — Wholesale Class,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,Global Bonds ,,Global Bonds ,International Fixed Interest,MF
3.602476263527734,Vanguard Australia Property Securities ETF,Growth,Real Assets,Listed Property,,ETF Index,,,Australia Real Estate Equity,,Australia Real Estate Equity,AREITs,ETF
6.315643856599194,Allan Gray Australia Equity Fund,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Large Value Equity,,Australia Large Blend Equity,Australian Equities,MF
4.153603787322445,Realm High Income,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
5.569804709618945,BetaShares S&P 500 Equal Weight ETF,Growth,International Shares,Global Shares,,Passive,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
6.416685035214152,VanEck Australian Equal Weight ETF,Growth,Australian Shares,Australian Shares,,Passive,,,Australia Large Blend Equity,,Australia Large Blend Equity,Australian Equities,ETF
3.787864870549778,Vanguard Australian Government Bond Index,Defensive,Australian Fixed Interest,Australian Fixed Interest,,Passive,,,Australian Bonds,,Australian Bonds,Australian Fixed Interest,ETF
2.646047634047711,Vanguard Australian Shares,Growth,Australian Shares,Australian Shares,,Passive,,,Australia Large Blend Equity,,Australia Large Blend Equity,Australian Equities,ETF
4.203639185379603,BetaShares Global Sustainability Leaders (Hedged),Growth,International Shares,Global Shares,,Passive,,,Global Sustainable,,World Large Growth Equity,International Equities - Unhedged,ETF
4.724478280584481,JP Morgan Global Select Equity (Hedged) Active ETF,Growth,International Shares,Global Shares,,Active Manager,,,World Currency Hedged Equity,,World Large Blend Equity,International Equities - Hedged,MF
5.081520523690944,VanEck Wide Moat Fund ETF (Hedged),Growth,International Shares,Global Shares,,Passive,,,World Other Equity - Hedged,,World Large Growth Equity,International Equities - Hedged,ETF
3.527109601209154,Claremont Global Fund (Hedged),Growth,International Shares,Global Shares,,Active Manager,,,World Large Blend Equity - Hedged,,World Large Blend Equity,International Equities - Unhedged,MF
4.103747226793537,Yarra Enhanced Income Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
2.89642913802371,Lazard Global Listed Infrastructure Fund,Growth,Real Assets,Global Listed Infrastructure,,Active Manager,,,Global Infrastructure - hedged,,Global Infrastructure - Currency Hedged,Global Listed Infrastructure - hedged,MF
4.117284144307699,Realm Strategic Income Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG/HY Credit,,Diversified Credit,Floating High Yield Credit,MF
4.0595585376576775,Spheria Australian Microcap Fund,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Mid Small Blend Equity,,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF
6.563758439354625,Airlie Australian Share Fund,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Large Quality,,Australia Large Blend Equity,Australian Equities,MF
13.024974886143974,Lucerne Alternative Investments Fund Class 2,Growth,Alternatives,Alternatives,Alternatives (Defensive),Active Manager,,,Macro Strategy - Discretionary,,Diversified Flexible,Alternatives - Defensive Illiquid,MF
