Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,PeerGroup,OptimiserCategory,Type
1.1450780928219344,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,Cash,Cash,Bank Account,Cash,Domestic Cash,Cash,Cash
4.793341793275512,Ausbil Australian SmallCap Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Small Cap Fundamental,,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF
3.203017716232387,PIMCO Global Bond Fund — Wholesale Class,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,Global Bonds ,,Global Bonds ,International Fixed Interest,MF
6.63284418813023,VanEyk Morningstar Wide MOAT ETF,Growth,Alternatives,Alternatives,,ETF Index,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
5.150206411973707,Perpetual SHARE PLUS Long Short,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Australia Long Short Equity,,Australia Long Short Equity,Australian Equities,MF
4.92216873854979,Vanguard Australian Property Securities Index Fund,Growth,Real Assets,Listed Property,,Passive,,,Australia Real Estate Equity,,Australia Real Estate Equity,AREITs,MF
5.0794093903619215,Allan Gray Australia Equity Fund,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Large Value Equity,,Australia Large Blend Equity,Australian Equities,MF
2.067788382665887,Resolution Capital Global Property Securities Fund,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,Global Real Estate,,Global Real Estate,GREITs,MF
3.230725902490833,Realm High Income,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
6.801656063417292,BetaShares S&P 500 Equal Weight ETF,Growth,International Shares,Global Shares,,Passive,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
5.1606726032857875,VanEck Australian Equal Weight ETF,Growth,Australian Shares,Australian Shares,,Passive,,,Australia Large Blend Equity,,Australia Large Blend Equity,Australian Equities,ETF
6.945615607438974,Pendal Short Term Income Securities Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
2.7735231983520454,Pendal Government Bond Fund,Defensive,Long Duration,Australian Fixed Interest,,Active Manager,,,Australian Bonds,,Australian Bonds,Australian Fixed Interest,MF
3.9822096792180526,Metrics Direct Income Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
2.9924501578325744,Yarra Enhanced Income Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
3.2519027461742724,PIMCO Income Fund,Defensive,Long Duration,Global Fixed Interest,,Active Manager,,,Global Bonds ,,Global Bonds ,International Fixed Interest,MF
4.600569435855806,Lazard Defensive Australian Equity Fund ,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Large Defensive,,Australia Large Blend Equity,Australian Equities,MF
6.579372490817879,Yarra Global Small Companies Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,World Mid Small Equity,,World Large Blend Equity,International Equities - Unhedged,MF
6.3554191862900105,Barrow Hanley Global Share Fund,Growth,International Shares,Global Shares,,Active Manager,,,World Large Quality Equity,,World Large Blend Equity,International Equities - Unhedged,MF
5.921042662238754,JP Morgan Global Select Equity (Hedged) Active,Growth,International Shares,Global Shares,,Active Manager,,,World Large Quality Equity,,World Large Blend Equity,International Equities - Hedged,MF
1.971269524025248,Lazard Global Listed Infrastructure Fund,Growth,Real Assets,Global Listed Infrastructure,,Active Manager,,,Global Infrastructure - hedged,,Global Infrastructure - Currency Hedged,Global Listed Infrastructure - hedged,MF
6.439716028551108,Arrowstreet Global Equity (Hedged),Growth,International Shares,Global Shares,,Active Manager,,,World Large Quality Equity,,World Large Blend Equity,International Equities - Hedged,MF
