Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,PeerGroup,OptimiserCategory,Type
1.099997992429379,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,Cash,Cash,Bank Account,Cash,Domestic Cash,Cash,Cash
5.89881868178199,Ausbil Australian SmallCap Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Small Cap Fundamental,,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF
3.150179438691737,PIMCO Global Bond Fund — Wholesale Class,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,Global Bonds ,,Global Bonds ,International Fixed Interest,MF
8.139014202295208,BetaShares Global Sustainability Leaders ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,,,World Large Growth Equity,,World Large Growth Equity,International Equities - Unhedged,ETF
4.840970649450449,Vanguard Australian Property Securities Index Fund,Growth,Real Assets,Listed Property,,Passive,,,Australia Real Estate Equity,,Australia Real Estate Equity,AREITs,MF
2.0336773080049797,Resolution Capital Global Property Securities Fund,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,Global Real Estate,,Global Real Estate,GREITs,MF
3.17743053948723,Realm High Income,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
7.8718246935311695,BetaShares S&P 500 Equal Weight ETF,Growth,International Shares,Global Shares,,Passive,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
5.802019679265222,VanEck Australian Equal Weight ETF,Growth,Australian Shares,Australian Shares,,Passive,,,Australia Large Blend Equity,,Australia Large Blend Equity,Australian Equities,ETF
5.938338371142723,BetaShares Global Sustainability Leaders (Hedged),Growth,International Shares,Global Shares,,Passive,,,Global Sustainable,,World Large Growth Equity,International Equities - Unhedged,ETF
6.973202524788556,Betashares Australian Sustainability Leaders,Growth,Australian Shares,Australian Shares,,Passive,,,Australian Sustainable,,Australia Other Equity,Australian Equities,ETF
6.831037919249291,Pendal Short Term Income Securities Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
3.916517535465855,Metrics Direct Income Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
2.9430854880198645,Yarra Enhanced Income Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
3.198258041380181,PIMCO Income Fund,Defensive,Long Duration,Global Fixed Interest,,Active Manager,,,Global Bonds ,,Global Bonds ,International Fixed Interest,MF
6.065724906207802,Yarra Global Small Companies Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,World Mid Small Equity,,World Large Blend Equity,International Equities - Unhedged,MF
10.283620572388168,JP Morgan Global Select Equity (Hedged) Active,Growth,International Shares,Global Shares,,Active Manager,,,World Large Quality Equity,,World Large Blend Equity,International Equities - Hedged,MF
2.7143073590884463,Vanguard Australian Government Bond Index,Defensive,Long Duration,Australian Fixed Interest,,Passive,,,Australian Bonds,,Australian Bonds,Australian Fixed Interest,MF
7.012190921231354,Australian Ethical Shares fund,Growth,Australian Shares,Australian Shares,,Passive,,,Australian Ethical Equities,,Australia Other Equity,Australian Equities - Ethical,MF
2.1097831761003873,Vanguard Global Infrastructure Index Fund,Growth,Real Assets,Global Listed Infrastructure,,Active Manager,,,Global Infrastructure - unhedged,,Global Infrastructure -unhedged,Global Listed Infrastructure - unhedged,MF
