Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,PeerGroup,OptimiserCategory,Type
1.124647290813129,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,Cash,Cash,Bank Account,Cash,Domestic Cash,Cash,Cash
4.256432487769509,Invesco Wholesale Australian Smaller Companies,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Small Cap Systematic,,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF
4.4685714619617185,Ausbil Global SmallCap Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Small Cap Fundamental,,World Mid Small Equity,International Equities - Small Cap,MF
3.759305670892817,PIMCO Global Bond Fund — Wholesale Class,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,Global Bonds ,,Global Bonds ,International Fixed Interest,MF
7.006950052643517,VanEyk Morningstar Wide MOAT ETF,Growth,Alternatives,Alternatives,,ETF Index,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
4.910477467678241,Vanguard Australian Property Securities Index Fund,Growth,Real Assets,Listed Property,,Passive,,,Australia Real Estate Equity,,Australia Real Estate Equity,AREITs,MF
5.792651219654526,Allan Gray Australia Equity Fund,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Large Value Equity,,Australia Large Blend Equity,Australian Equities,MF
2.522182581681557,Vanguard Australian Shares Index,Growth,Australian Shares,Australian Shares,,Passive,,,Australia Large Blend Equity,,Australia Large Blend Equity,Australian Equities,MF
2.062876914699038,Resolution Capital Global Property Securities Fund,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,Global Real Estate,,Global Real Estate,GREITs,MF
4.0288152415869245,Realm High Income,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
7.185283260069985,BetaShares S&P 500 Equal Weight ETF,Growth,International Shares,Global Shares,,Passive,,,World Other Equity,,World Other Equity,International Equities - Unhedged,ETF
6.383237731075359,VanEck Australian Equal Weight ETF,Growth,Australian Shares,Australian Shares,,Passive,,,Australia Large Blend Equity,,Australia Large Blend Equity,Australian Equities,ETF
7.230496063394629,BetaShares Global Sustainability Leaders (Hedged),Growth,International Shares,Global Shares,,Passive,,,Global Sustainable,,World Large Growth Equity,International Equities - Unhedged,ETF
6.9291181897864,Pendal Short Term Income Securities Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
3.6892472661290796,Pendal Government Bond Fund,Defensive,Long Duration,Australian Fixed Interest,,Active Manager,,,Australian Bonds,,Australian Bonds,Australian Fixed Interest,MF
3.972751025015,Metrics Direct Income Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
3.9804565436376795,Yarra Enhanced Income Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Diversified Credit,Floating High Yield Credit,MF
5.246573391836131,Lazard Defensive Australian Equity Fund ,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Large Defensive,,Australia Large Blend Equity,Australian Equities,MF
6.255001477062228,JP Morgan Global Select Equity (Hedged) Active,Growth,International Shares,Global Shares,,Active Manager,,,World Large Quality Equity,,World Large Blend Equity,International Equities - Hedged,MF
1.9665873103120786,Lazard Global Listed Infrastructure Fund,Growth,Real Assets,Global Listed Infrastructure,,Active Manager,,,Global Infrastructure - hedged,,Global Infrastructure - Currency Hedged,Global Listed Infrastructure - hedged,MF
7.228337352300464,iShares Indexed Hedged International Equity,Growth,International Shares,Global Shares,,Passive,,,World Other Equity - Hedged,,World Large Growth Equity,International Equities - Hedged,MF
